"","GeoCode","Boro_Location","GeoCodeLabel","PassengKilled","InJury_type","NofCases"
"367",5,"Manhattan 5th Precinct","5th Precinct",0,"CyclistsInjured",13
"368",13,"Manhattan 13th Precinct","13th Precinct",0,"CyclistsInjured",13
"369",108,"Queens 108th Precinct","108th Precinct",0,"CyclistsInjured",13
"370",62,"Brooklyn 62nd Precinct","62nd Precinct",0,"PedestrInjured",13
"371",102,"Queens 102nd Precinct","102nd Precinct",0,"PedestrInjured",13
"372",104,"Queens 104th Precinct","104th Precinct",0,"PedestrInjured",13
"373",44,"Bronx 44th Precinct","44th Precinct",0,"Bicycle",13
"374",108,"Queens 108th Precinct","108th Precinct",0,"Bicycle",13
"375",23,"Manhattan 23rd Precinct","23rd Precinct",0,"Injury_or_Fatal_Collisions",12
"376",5,"Manhattan 5th Precinct","5th Precinct",0,"MotoristsInjured",12
"377",81,"Brooklyn 81st Precinct","81st Precinct",0,"MotoristsInjured",12
"378",1,"Manhattan 1st Precinct","1st Precinct",0,"PassengInjured",12
"379",44,"Bronx 44th Precinct","44th Precinct",0,"CyclistsInjured",12
"380",79,"Brooklyn 79th Precinct","79th Precinct",0,"CyclistsInjured",12
"381",88,"Brooklyn 88th Precinct","88th Precinct",0,"CyclistsInjured",12
"382",102,"Queens 102nd Precinct","102nd Precinct",0,"CyclistsInjured",12
"383",114,"Queens 114th Precinct","114th Precinct",0,"CyclistsInjured",12
"384",66,"Brooklyn 66th Precinct","66th Precinct",0,"PedestrInjured",12
"385",43,"Bronx 43rd Precinct","43rd Precinct",0,"Bicycle",12
"386",61,"Brooklyn 61st Precinct","61st Precinct",0,"Bicycle",12
"387",77,"Brooklyn 77th Precinct","77th Precinct",0,"Bicycle",12
"388",84,"Brooklyn 84th Precinct","84th Precinct",0,"Bicycle",12
"389",94,"Brooklyn 94th Precinct","94th Precinct",0,"Bicycle",12
"390",102,"Queens 102nd Precinct","102nd Precinct",0,"Bicycle",12
"391",18,"Manhattan Midtown North Precinct","Midtown North Precinct",0,"MotoristsInjured",11
"392",33,"Manhattan 33rd Precinct","33rd Precinct",0,"MotoristsInjured",11
"393",100,"Queens 100th Precinct","100th Precinct",0,"MotoristsInjured",11
"394",13,"Manhattan 13th Precinct","13th Precinct",0,"PassengInjured",11
"395",19,"Manhattan 19th Precinct","19th Precinct",0,"PassengInjured",11
"396",61,"Brooklyn 61st Precinct","61st Precinct",0,"PassengInjured",11
"397",76,"Brooklyn 76th Precinct","76th Precinct",0,"PassengInjured",11
"398",88,"Brooklyn 88th Precinct","88th Precinct",0,"PassengInjured",11
"399",19,"Manhattan 19th Precinct","19th Precinct",0,"CyclistsInjured",11
"400",43,"Bronx 43rd Precinct","43rd Precinct",0,"CyclistsInjured",11
"401",75,"Brooklyn 75th Precinct","75th Precinct",0,"CyclistsInjured",11
"402",68,"Brooklyn 68th Precinct","68th Precinct",0,"PedestrInjured",11
"403",17,"Manhattan 17th Precinct","17th Precinct",0,"Bicycle",11
"404",110,"Queens 110th Precinct","110th Precinct",0,"Bicycle",11
"405",26,"Manhattan 26th Precinct","26th Precinct",0,"Injury_or_Fatal_Collisions",10
"406",20,"Manhattan 20th Precinct","20th Precinct",0,"MotoristsInjured",10
"407",24,"Manhattan 24th Precinct","24th Precinct",0,"MotoristsInjured",10
"408",18,"Manhattan Midtown North Precinct","Midtown North Precinct",0,"PassengInjured",10
"409",24,"Manhattan 24th Precinct","24th Precinct",0,"PassengInjured",10
"410",32,"Manhattan 32nd Precinct","32nd Precinct",0,"PassengInjured",10
"411",17,"Manhattan 17th Precinct","17th Precinct",0,"CyclistsInjured",10
"412",18,"Manhattan Midtown North Precinct","Midtown North Precinct",0,"CyclistsInjured",10
